Date,Open,High,Low,Close,Adj Close,Volume
"Feb 2, 2021",131.94,134.39,131.22,133.61,120.69,"12,253,600"
"Feb 1, 2021",129.40,130.07,128.48,129.62,117.09,"11,080,700"
"Jan 29, 2021",131.19,131.72,128.19,128.67,116.23,"14,808,100"
"Jan 28, 2021",129.90,132.17,128.99,130.11,117.53,"13,761,800"
"Jan 27, 2021",129.59,129.85,127.35,127.86,115.50,"17,603,900"
"Jan 26, 2021",132.75,133.17,131.34,131.58,118.86,"11,307,800"
"Jan 25, 2021",132.14,133.17,130.06,132.12,119.35,"14,212,800"
"Jan 22, 2021",132.69,134.40,132.20,133.79,120.86,"12,933,200"
"Jan 21, 2021",135.69,136.16,134.32,134.83,121.80,"13,411,700"
"Jan 20, 2021",137.82,138.17,135.44,135.97,122.83,"16,028,800"
"Jan 19, 2021",139.86,140.70,137.82,138.04,124.69,"19,843,800"
"Jan 15, 2021",137.43,141.65,137.01,138.64,125.24,"27,881,000"
"Jan 14, 2021",140.49,142.75,140.00,141.17,127.52,"18,565,600"
"Jan 13, 2021",138.59,140.79,138.10,140.35,126.78,"14,816,800"
"Jan 12, 2021",139.44,141.66,138.83,140.22,126.66,"18,033,500"
"Jan 11, 2021",134.58,138.20,134.11,138.05,124.70,"15,937,900"
"Jan 8, 2021",135.97,136.35,134.12,136.02,122.87,"12,035,100"
"Jan 7, 2021",135.69,138.19,134.92,135.87,122.73,"21,940,400"
"Jan 6, 2021",129.88,132.77,127.88,131.55,118.83,"24,909,100"
"Jan 5, 2021",124.99,126.30,123.77,125.65,113.50,"13,731,200"
"Jan 4, 2021",127.50,127.86,124.78,125.87,112.89,"16,819,900"
"Dec 31, 2020",125.09,127.33,124.82,127.07,113.96,"8,580,200"
"Dec 30, 2020",125.49,125.85,124.90,125.36,112.43,"7,398,000"
"Dec 29, 2020",126.20,126.28,124.89,125.01,112.12,"8,389,200"
"Dec 28, 2020",125.82,126.65,124.79,125.34,112.41,"8,072,600"
"Dec 24, 2020",125.09,125.55,123.57,124.52,111.68,"4,164,900"
"Dec 23, 2020",122.78,126.52,122.35,125.07,112.17,"14,973,200"
"Dec 22, 2020",123.39,123.52,121.61,121.67,109.12,"11,788,200"
"Dec 21, 2020",123.17,125.00,121.09,123.55,110.81,"28,323,600"
"Dec 18, 2020",119.14,119.88,118.27,119.08,106.80,"28,954,800"
"Dec 17, 2020",121.26,121.45,119.58,119.67,107.33,"11,618,000"
"Dec 16, 2020",120.30,121.08,119.86,120.67,108.22,"11,169,400"
"Dec 15, 2020",119.29,120.90,118.62,120.32,107.91,"12,590,200"
"Dec 14, 2020",121.34,121.42,118.11,118.30,106.10,"12,112,400"
"Dec 11, 2020",118.94,120.02,118.37,119.56,107.23,"9,981,600"
"Dec 10, 2020",119.99,120.78,119.56,120.27,107.87,"13,668,400"
"Dec 9, 2020",123.17,123.30,120.44,121.05,108.57,"13,073,900"
"Dec 8, 2020",121.04,122.33,120.76,122.00,109.42,"9,592,100"
"Dec 7, 2020",121.15,122.17,120.21,121.88,109.31,"9,724,300"
"Dec 4, 2020",122.48,123.29,121.69,122.34,109.72,"13,583,700"
"Dec 3, 2020",121.85,121.89,120.36,121.24,108.74,"12,904,400"
"Dec 2, 2020",119.70,122.31,119.27,122.04,109.45,"10,811,300"
"Dec 1, 2020",120.34,121.58,119.63,119.74,107.39,"12,668,900"
"Nov 30, 2020",120.00,120.72,117.77,117.88,105.72,"14,411,800"
"Nov 27, 2020",122.00,122.35,121.08,121.22,108.72,"5,983,600"
